label_id,label_type,name,name_type,name_source
121,species,junmyn1,ml_species_code,SpeciesMapping_11
122,species,Acridotheres ginginianus,scientific,SpeciesMapping_11
122,species,Bank Myna,common_en,SpeciesMapping_11
122,species,banmyn1,ml_species_code,SpeciesMapping_11
123,species,Acridotheres grandis,scientific,SpeciesMapping_11
123,species,Great Myna,common_en,SpeciesMapping_11
123,species,whvmyn1,ml_species_code,SpeciesMapping_11
124,species,Acridotheres javanicus,scientific,SpeciesMapping_11
124,species,Javan Myna,common_en,SpeciesMapping_11
124,species,whvmyn,ml_species_code,SpeciesMapping_11
125,species,Acridotheres leucocephalus,scientific,SpeciesMapping_11
125,species,Vinous-breasted Myna,common_en,SpeciesMapping_11
125,species,vibsta4,ml_species_code,SpeciesMapping_11
126,species,Acridotheres melanopterus,scientific,SpeciesMapping_11
126,species,Black-winged Myna,common_en,SpeciesMapping_11
126,species,bkwsta1,ml_species_code,SpeciesMapping_11
127,species,Acridotheres tristis,scientific,SpeciesMapping_11
127,species,Common Myna,common_en,SpeciesMapping_11
127,species,commyn,ml_species_code,SpeciesMapping_11
128,species,Acripeza reticulata,scientific,SpeciesMapping_11
129,species,Acris blanchardi,scientific,SpeciesMapping_11
130,species,Acris crepitans,scientific,SpeciesMapping_11
130,species,Northern Cricket Frog,common_en,SpeciesMapping_11
130,species,t-11145339,ml_species_code,SpeciesMapping_11
131,species,Acris gryllus,scientific,SpeciesMapping_11
131,species,Southern Cricket Frog,common_en,SpeciesMapping_11
131,species,t-11164140,ml_species_code,SpeciesMapping_11
132,species,Acris,scientific,SpeciesMapping_11
132,species,t-10570206,ml_species_code,SpeciesMapping_11
133,species,Acritillas indica,scientific,SpeciesMapping_11
133,species,Iole indica,scientific,SpeciesMapping_11
133,species,Yellow-browed Bulbul,common_en,SpeciesMapping_11
133,species,yebbul3,ml_species_code,SpeciesMapping_11
135,species,Acrobates pygmaeus,scientific,SpeciesMapping_11
136,species,Acrobatornis fonsecai,scientific,SpeciesMapping_11
136,species,Pink-legged Graveteiro,common_en,SpeciesMapping_11
136,species,pilgra1,ml_species_code,SpeciesMapping_11
137,species,Acrocephalus aequinoctialis,scientific,SpeciesMapping_11
137,species,Kiritimati Reed Warbler,common_en,SpeciesMapping_11
137,species,chiwar1,ml_species_code,SpeciesMapping_11
138,species,Acrocephalus agricola,scientific,SpeciesMapping_11
138,species,Paddyfield Warbler,common_en,SpeciesMapping_11
138,species,padwar1,ml_species_code,SpeciesMapping_11
139,species,Acrocephalus arundinaceus,scientific,SpeciesMapping_11
139,species,Great Reed Warbler,common_en,SpeciesMapping_11
139,species,grrwar1,ml_species_code,SpeciesMapping_11
140,species,Acrocephalus atyphus,scientific,SpeciesMapping_11
140,species,Tuamotu Reed Warbler,common_en,SpeciesMapping_11
140,species,turwar1,ml_species_code,SpeciesMapping_11
141,species,Acrocephalus australis,scientific,SpeciesMapping_11
141,species,Australian Reed Warbler,common_en,SpeciesMapping_11
141,species,aurwar1,ml_species_code,SpeciesMapping_11
142,species,Acrocephalus baeticatus,scientific,SpeciesMapping_11
143,species,Acrocephalus bistrigiceps,scientific,SpeciesMapping_11
143,species,Black-browed Reed Warbler,common_en,SpeciesMapping_11
143,species,bbrwar1,ml_species_code,SpeciesMapping_11
144,species,Acrocephalus brevipennis,scientific,SpeciesMapping_11
144,species,Cape Verde Swamp Warbler,common_en,SpeciesMapping_11
144,species,cvswar1,ml_species_code,SpeciesMapping_11
145,species,Acrocephalus caffer,scientific,SpeciesMapping_11
145,species,Tahiti Reed Warbler,common_en,SpeciesMapping_11
145,species,tahrew1,ml_species_code,SpeciesMapping_11
146,species,Acrocephalus concinens,scientific,SpeciesMapping_11
