id,name,english,german,gbif,class,order
12048,Panthera leo,Lion,,Panthera leo,Mammalia,Carnivora
12049,Panthera onca,Jaguar,,Panthera onca,Mammalia,Carnivora
12050,Panthera pardus,Leopard,,Panthera pardus,Mammalia,Carnivora
12051,Panthera tigris,Tiger,,Panthera tigris,Mammalia,Carnivora
12052,Pantherophis obsoletus,,,Pantherophis obsoletus,Squamata,
12053,Pantherophis spiloides,,,Pantherophis spiloides,Squamata,
12054,Panulirus argus,Caribbean spiny lobster,,Panulirus argus,Malacostraca,Decapoda
12055,Panulirus guttatus,spotted spiny lobster,,Panulirus guttatus,Malacostraca,Decapoda
12056,Panulirus laevicauda,smoothtail spiny lobster,,Panulirus laevicauda,Malacostraca,Decapoda
12057,Panulirus,Panulirus,,,Malacostraca,Decapoda
